,parliament_year,annotated signature block does not match goldstandard,signature block not found
0,1867,0,0
1,1868,0,0
2,1869,1,1
3,1870,1,0
4,1871,0,0
5,1872,0,0
6,1873,0,0
7,1874,1,0
8,1875,2,0
9,1876,1,1
10,1877,0,0
11,1878,1,0
12,1879,0,1
13,1880,0,0
14,1881,2,0
15,1882,0,1
16,1883,1,0
17,1884,0,0
18,1885,0,0
19,1886,0,0
20,1887,0,0
21,1888,0,0
22,1889,1,0
23,1890,0,0
24,1891,0,0
25,1892,2,0
26,1893,1,0
27,1894,1,0
28,1895,0,0
29,1896,0,0
30,1897,0,0
31,1898,0,1
32,1899,0,0
33,1900,0,0
34,1901,0,0
35,1902,0,0
36,1903,1,0
37,1904,0,0
38,1905,0,0
39,1906,0,0
40,1907,0,0
41,1908,0,0
42,1909,0,0
43,1910,0,0
44,1911,1,0
45,1912,0,0
46,1913,0,0
47,1914,0,0
48,1915,0,0
49,1916,0,0
50,1917,1,0
51,1918,0,0
52,1919,0,0
53,1920,0,0
54,1921,0,0
55,1922,0,0
56,1923,0,0
57,1924,0,0
58,1925,1,0
59,1926,0,0
60,1927,0,0
61,1928,0,0
62,1929,0,0
63,1930,0,0
64,1931,0,0
65,1932,0,0
66,1933,0,0
67,1934,0,0
68,1935,0,0
69,1936,0,0
70,1937,0,1
71,1938,0,0
72,1939,0,1
73,1940,0,0
74,1941,0,0
75,1942,0,0
76,1943,0,0
77,1944,1,0
78,1945,0,1
79,1946,0,0
80,1947,0,0
81,1948,0,0
82,1949,0,1
83,1950,0,0
84,1951,1,1
85,1952,0,2
86,1953,0,1
87,1954,0,0
88,1955,0,0
89,1956,0,0
90,1957,1,0
91,1958,0,0
92,1959,0,0
93,1960,1,0
94,1961,0,0
95,1962,0,0
96,1963,1,0
97,1964,1,0
98,1965,1,0
99,1966,2,0
100,1967,1,1
101,1968,2,0
102,1969,1,0
103,1970,1,0
104,1971,0,0
105,1972,2,0
106,1973,1,0
107,1974,1,0
108,1975,1,0
109,1976,0,0
110,1977,1,0
111,1978,0,0
112,1979,0,0
113,1980,1,0
114,1981,0,0
115,1982,0,0
116,1983,0,0
117,1984,0,0
118,1985,0,0
119,1986,0,0
120,1987,0,1
121,1988,0,0
122,1989,0,0
123,1990,1,0
124,1991,0,0
125,1992,0,0
126,1993,0,0
127,1994,0,0
128,1995,0,0
129,1996,1,0
130,1997,0,0
131,1998,0,0
132,1999,1,0
133,2000,0,0
134,2001,0,0
135,2002,0,0
136,2003,0,0
137,2004,0,0
138,2005,0,0
139,2006,0,0
140,2007,0,0
141,2008,0,0
142,2009,0,0
143,2010,0,0
144,2011,0,0
145,2012,0,0
146,2013,0,0
147,2014,1,0
148,2015,0,0
149,2016,0,0
150,2017,0,0
151,2018,0,0
152,2019,0,0
153,2020,0,0
154,2021,0,0
155,2022,0,0
156,2023,0,0
157,2024,0,0
