,parliament_year,annotated title block does not match goldstandard,title block is not annotated in goldstandard,title block not found
0,1867,3,0,0
1,1868,3,0,0
2,1869,3,0,0
3,1870,3,0,0
4,1871,3,0,0
5,1872,3,0,0
6,1873,3,0,0
7,1874,3,0,0
8,1875,3,0,0
9,1876,3,0,0
10,1877,3,0,0
11,1878,3,0,0
12,1879,3,0,0
13,1880,3,0,0
14,1881,3,0,0
15,1882,3,0,0
16,1883,3,0,0
17,1884,2,1,0
18,1885,3,0,0
19,1886,3,0,0
20,1887,3,0,0
21,1888,3,0,0
22,1889,3,0,0
23,1890,3,0,0
24,1891,3,0,0
25,1892,3,0,0
26,1893,3,0,0
27,1894,3,0,0
28,1895,3,0,0
29,1896,3,0,0
30,1897,3,0,0
31,1898,3,0,0
32,1899,3,0,0
33,1900,3,0,0
34,1901,3,0,0
35,1902,3,0,0
36,1903,3,0,0
37,1904,3,0,0
38,1905,3,0,0
39,1906,3,0,0
40,1907,3,0,0
41,1908,3,0,0
42,1909,3,0,0
43,1910,3,0,0
44,1911,3,0,0
45,1912,3,0,0
46,1913,3,0,0
47,1914,3,0,0
48,1915,3,0,0
49,1916,3,0,0
50,1917,3,0,0
51,1918,3,0,0
52,1919,3,0,0
53,1920,3,0,0
54,1921,3,0,0
55,1922,3,0,0
56,1923,3,0,0
57,1924,3,0,0
58,1925,3,0,0
59,1926,3,0,0
60,1927,3,0,0
61,1928,3,0,0
62,1929,3,0,0
63,1930,3,0,0
64,1931,3,0,0
65,1932,3,0,0
66,1933,3,0,0
67,1934,3,0,0
68,1935,3,0,0
69,1936,3,0,0
70,1937,3,0,0
71,1938,3,0,0
72,1939,3,0,0
73,1940,3,0,0
74,1941,3,0,0
75,1942,3,0,0
76,1943,3,0,0
77,1944,3,0,0
78,1945,3,0,0
79,1946,3,0,0
80,1947,3,0,0
81,1948,3,0,0
82,1949,3,0,0
83,1950,3,0,0
84,1951,3,0,0
85,1952,3,0,0
86,1953,3,0,0
87,1954,3,0,0
88,1955,3,0,0
89,1956,3,0,0
90,1957,3,0,0
91,1958,3,0,0
92,1959,3,0,0
93,1960,3,0,0
94,1961,3,0,0
95,1962,3,0,0
96,1963,3,0,0
97,1964,3,0,0
98,1965,3,0,0
99,1966,3,0,0
100,1967,3,0,0
101,1968,3,0,0
102,1969,3,0,0
103,1970,3,0,0
104,1971,3,0,0
105,1972,3,0,0
106,1973,3,0,0
107,1974,3,0,0
108,1975,6,0,0
109,1976,3,0,0
110,1977,3,0,0
111,1978,3,0,0
112,1979,3,0,0
113,1980,3,0,0
114,1981,3,0,0
115,1982,3,0,0
116,1983,3,0,0
117,1984,3,0,0
118,1985,3,0,0
119,1986,3,0,0
120,1987,3,0,0
121,1988,3,0,0
122,1989,3,0,0
123,1990,3,0,0
124,1991,3,0,0
125,1992,3,0,0
126,1993,3,0,0
127,1994,3,0,0
128,1995,3,0,0
129,1996,3,0,0
130,1997,3,0,0
131,1998,3,0,0
132,1999,3,0,0
133,2000,3,0,0
134,2001,3,0,0
135,2002,3,0,0
136,2003,3,0,0
137,2004,3,0,0
138,2005,3,0,0
139,2006,0,0,3
140,2007,0,0,3
141,2008,0,0,3
142,2009,0,0,3
143,2010,0,0,3
144,2011,0,0,3
145,2012,0,0,3
146,2013,0,0,3
147,2014,3,0,0
148,2015,3,0,0
149,2016,3,0,0
150,2017,3,0,0
151,2018,3,0,0
152,2019,3,0,0
153,2020,3,0,0
154,2021,3,0,0
155,2022,3,0,0
156,2023,3,0,0
157,2024,0,0,0
